ractive_swrbatsr"birth_date"r"current_sw"r"forty_man_sw"rheight_feetrheight_inchesr"jersey_number"r"name_first_last"r"name_last_first"r"name_sort"r"player_first_last_html"r"player_html"r"player_id"rposition_desigr"primary_position"r"primary_position_cd"r"roster_years"r"stat_years"r"status_short"rteam_idr"throws"rweight
90rNrRr1984-08-19T00:00:00rNrYr6r4r62r"Marcos Carvajal"r"Carvajal, Marcos"rCARVAJAL, MARCOSr"Marcos Carvajal"r"Carvajal, Marcos"r434881rPITCHERrPr1r2005r2005r"Traded"r115rRr175
91rNrRr1970-03-11T00:00:00rNrYr5r7rr"Pedro Castellano"r"Castellano, Pedro"rCASTELLANO, PEDROr"Pedro Castellano"r"Castellano, Pedro"r112102rINFIELDERr3Br5r1993-1996r1993, 1995-1996rActiver115rRr165
92rNrRr1967-07-04T00:00:00rNrNr6r1r9rVinny CastillarCastilla, VinnyrCASTILLA, VINNYrVinny CastillarCastilla, Vinnyr112106rINFIELDERr3Br5r1993-1999, 2004, 2006r1993-1999, 2004, 2006r"Free agent"r115rRr205
93rNrRr1969-04-01T00:00:00rNrNr6r1rr"Frank Castillo"r"Castillo, Frank"rCASTILLO, FRANKr"Frank Castillo"r"Castillo, Frank"r112113rPITCHERrPr1r1997r1997r"Free agent"r115rRr200
94rYrRr1992-11-14T00:00:00rNrYr5r11r6r"Daniel Castro"r"Castro, Daniel"rCASTRO, DANIELr"Daniel Castro"r"Castro, Daniel"r593495rINFIELDERr2Br4r2016-2018r2017-2018rSignedr115rRr201
95rYrRr1994-12-24T00:00:00rNrYr6r7r46r"Miguel Castro"r"Castro, Miguel"rCASTRO, MIGUELr"Miguel Castro"r"Castro, Miguel"r612434rPITCHERrPr1r2015-2017r2015-2017r"Traded"r115rRr205
96rYrRr1988-04-09T00:00:00rNrYr6r5r64r"Simon Castro"r"Castro, Simon"rCASTRO, SIMONr"Simon Castro"r"Castro, Simon"r501563rPITCHERrPr1r2014-2016r2015-2016rNRIr115rRr230
97rYrRr1988-01-07T00:00:00rNrYr6r3r45rJhoulys ChacinrChacin, JhoulysrCHACIN, JHOULYSrJhoulys ChacínrChacín, Jhoulysr468504rPITCHERrPr1r2009-2015r2009-2015rReleasedr115rRr215
98rNrRr1977-12-23T00:00:00rNrNr6r3r34rShawn ChaconrChacon, ShawnrCHACON, SHAWNrShawn ChaconrChacon, Shawnr276336rPITCHERrPr1r2001-2005r2001-2005r"Traded"r115rRr220
99rYrRr1989-12-16T00:00:00rNrYr6r0r32r"Tyler Chatwood"r"Chatwood, Tyler"rCHATWOOD, TYLERr"Tyler Chatwood"r"Chatwood, Tyler"r543022rPITCHERrPr1r2011-2017r2012-2014, 2016-2017r"Free agent"r115rRr185
100rNrRr1972-05-01T00:00:00rNrNr6r2r43r"Bobby Chouinard"r"Chouinard, Bobby"rCHOUINARD, BOBBYr"Bobby Chouinard"r"Chouinard, Bobby"r112257rPITCHERrPr1r2000-2001r2000-2001r"Free agent"r115rRr195
101rNrLr1975-03-31T00:00:00rNrNr6r0r50r"Tim Christman"r"Christman, Tim"rCHRISTMAN, TIMr"Tim Christman"r"Christman, Tim"r276337rPITCHERrPr1r2001r2001r"Free agent"r115rLr195
102rNrRr1969-09-23T00:00:00rNrYr6r1r7r"Jeff Cirillo"r"Cirillo, Jeff"rCIRILLO, JEFFr"Jeff Cirillo"r"Cirillo, Jeff"r112297rINFIELDERr3Br5r2000-2001r2000-2001r"Traded"r115rRr205
103rNrRr1963-08-10T00:00:00rNrYr6r4rr"Jerald Clark"r"Clark, Jerald"rCLARK, JERALDr"Jerald Clark"r"Clark, Jerald"r112330rOUTFIELDERrOFrOr1993r1993rActiver115rRr200
104rNrRr1981-03-18T00:00:00rNrYr6r8r99r"Darren Clarke"r"Clarke, Darren"rCLARKE, DARRENr"Darren Clarke"r"Clarke, Darren"r457489rPITCHERrPr1r2006-2008r2007-2008rNRIr115rRr235
105rNrRr1970-01-02T00:00:00rNrYr6r0r10rRoyce ClaytonrClayton, RoycerCLAYTON, ROYCErRoyce ClaytonrClayton, Roycer112381rINFIELDERrSSr6r2004r2004r"Free agent"r115rRr200
106rNrRr1975-12-15T00:00:00rNrNr5r11r12r"Edgard Clemente"r"Clemente, Edgard"rCLEMENTE, EDGARDr"Edgard Clemente"r"Clemente, Edgard"r136762rOUTFIELDERrCFr8r1998-1999r1998-1999r"Traded"r115rRr190
107rNrSr1980-01-15T00:00:00rNrYr5r10r7r"JD Closser"r"Closser, JD"rCLOSSER, JDr"JD Closser"r"Closser, JD"r408038rCATCHERrCr2r2004-2006r2004-2006rWaivedr115rRr205
108rNrRr1962-12-05T00:00:00rNrYr6r2rr"Alan Cockrell"r"Cockrell, Alan"rCOCKRELL, ALANr"Alan Cockrell"r"Cockrell, Alan"r112439rOUTFIELDERrOFrOr1996r1996rActiver115rRr210
109rNrRr1969-07-26T00:00:00rNrNr6r0rr"Greg Colbrunn"r"Colbrunn, Greg"rCOLBRUNN, GREGr"Greg Colbrunn"r"Colbrunn, Greg"r112461rINFIELDERr1Br3r1998r1998r"Traded"r115rRr215
110rNrLr1965-08-17T00:00:00rNrYr6r0rrAlex ColerCole, AlexrCOLE, ALEXrAlex ColerCole, Alexr112464rOUTFIELDERrOFrOr1993r1993rActiver115rLr170
111rNrRr1962-06-02T00:00:00rNrYr6r1rr"Darnell Coles"r"Coles, Darnell"rCOLES, DARNELLr"Darnell Coles"r"Coles, Darnell"r112491rINFIELDERr3Br5r1997r1997rActiver115rRr185
112rYrRr1981-12-26T00:00:00rNrYr6r3r55rAlvin ColinarColina, AlvinrCOLINA, ALVINrAlvin ColinarColina, Alvinr468915rCATCHERrCr2r2006-2007r2006-2007rClaimedr115rRr210
113rYrLr1985-09-05T00:00:00rNrYr6r3r21r"Tyler Colvin"r"Colvin, Tyler"rCOLVIN, TYLERr"Tyler Colvin"r"Colvin, Tyler"r502125rOUTFIELDERrRFr9r2011-2013r2012-2013rSignedr115rLr210
