,active_sw,age,bats,birth_city,birth_country,birth_date,birth_state,college,death_city,death_country,death_date,death_state,end_date,file_code,gender,height_feet,height_inches,high_school,jersey_number,name_display_first_last,name_display_first_last_html,name_display_last_first,name_display_last_first_html,name_display_roster,name_display_roster_html,name_first,name_full,name_last,name_matrilineal,name_middle,name_nick,name_prefix,name_title,name_use,player_id,primary_position,primary_position_txt,primary_sport_code,primary_stat_type,pro_debut_date,start_date,status,status_code,status_date,team_abbrev,team_code,team_id,team_name,throws,twitter_id,weight
321,N,45,R,Havana,Cuba,1973-11-17T00:00:00,,,,,,,2007-04-01T00:00:00,stl,M,6,1,"Coral Gables, FL",35,Eli Marrero,Eli Marrero,"Marrero, Eli","Marrero, Eli",Marrero,Marrero,Elieser,"Marrero, Eli",Marrero,,,,,,Eli,118305,2,C,mlb,hitting,1997-09-03T00:00:00,2006-11-28T00:00:00,NRI,NRI,2006-11-28T00:00:00,STL,sln,138,St. Louis Cardinals,R,,200
322,Y,33,R,Arlington,USA,1986-06-02T00:00:00,TX,"McLennan CC, TX",,,,,,atl,M,6,8,"Arlington, TX",51,Chris Martin,Chris Martin,"Martin, Chris","Martin, Chris","Martin, Ch","Martin, Ch",Christopher,"Martin, Chris",Martin,,R.,C-Mart,,,Chris,455119,1,P,mlb,pitching,2014-04-26T00:00:00,2019-07-30T00:00:00,Active,A,2019-08-01T00:00:00,ATL,atl,144,Atlanta Braves,R,,215
323,N,49,L,Charleston,USA,1970-05-21T00:00:00,SC,,,,,,2009-03-22T00:00:00,nym,M,6,1,"Bay, Panama City, FL",38,Tom Martin,Tom Martin,"Martin, Tom","Martin, Tom","Martin, T","Martin, T",Thomas,"Martin, Tom",Martin,,Edgar,,,,Tom,118353,1,P,mlb,pitching,1997-04-02T00:00:00,2009-01-12T00:00:00,NRI,NRI,2009-01-12T00:00:00,NYM,nyn,121,New York Mets,L,,215
324,Y,37,R,St. Petersburg,USA,1982-05-17T00:00:00,FL,St. Petersburg College,,,,,2016-04-03T00:00:00,was,M,6,5,"Pinellas Park, Largo, FL",49,Nick Masset,Nick Masset,"Masset, Nick","Masset, Nick",Masset,Masset,Nicholas,"Masset, Nick",Masset,,Allen,,,,Nick,434665,1,P,mlb,pitching,2006-06-27T00:00:00,2015-12-15T00:00:00,NRI,NRI,2015-12-15T00:00:00,WSH,was,120,Washington Nationals,R,,225
325,N,43,S,Osaka,Japan,1975-10-23T00:00:00,,,,,,,2010-05-25T00:00:00,col,M,5,10,"PL Gauken, Osaka, Japan",,Kazuo Matsui,Kazuo Matsui,"Matsui, Kazuo","Matsui, Kazuo","Matsui, K","Matsui, K",Kazuo,"Matsui, Kazuo",Matsui,,,Kaz,,,Kazuo,430565,4,2B,mlb,hitting,2004-04-06T00:00:00,2010-05-25T00:00:00,Signed,MIN,2010-05-25T00:00:00,COL,col,115,Colorado Rockies,R,,187
326,Y,28,L,Mission Viejo,USA,1990-10-19T00:00:00,CA,,,,,,2019-08-15T00:00:00,atl,M,6,3,"Capistrano Valley, Mission Viejo, CA",,Tyler Matzek,Tyler Matzek,"Matzek, Tyler","Matzek, Tyler",Matzek,Matzek,Tyler,"Matzek, Tyler",Matzek,,Alexander,,,,Tyler,554431,1,P,mlb,pitching,2014-06-11T00:00:00,2019-08-15T00:00:00,Signed,MIN,2019-08-15T00:00:00,ATL,atl,144,Atlanta Braves,L,,230
327,N,51,L,Loma Linda,USA,1968-04-19T00:00:00,CA,Cal State Fullerton,,,,,2004-11-29T00:00:00,la,M,6,1,"Costa Mesa, CA",6,Brent Mayne,Brent Mayne,"Mayne, Brent","Mayne, Brent",Mayne,Mayne,Brent,"Mayne, Brent",Mayne,,Danem,,,,Brent,118490,2,C,mlb,hitting,1990-09-18T00:00:00,2004-08-01T00:00:00,Free agent,FA,2004-08-01T00:00:00,LAD,lan,119,Los Angeles Dodgers,R,,190
328,Y,34,R,Bethlehem,USA,1985-05-23T00:00:00,PA,Lehigh,,,,,2019-03-26T00:00:00,phi,M,6,2,"Liberty, Bethlehem, PA",33,Matt McBride,Matt McBride,"McBride, Matt","McBride, Matt",McBride,McBride,Matthew,"McBride, Matt",McBride,,Hagerty,,,,Matt,473724,9,RF,mlb,hitting,2012-08-04T00:00:00,2018-12-21T00:00:00,NRI,NRI,2018-12-21T00:00:00,PHI,phi,143,Philadelphia Phillies,R,,215
329,N,40,R,Toledo,USA,1978-11-25T00:00:00,OH,Indiana,,,,,2008-03-30T00:00:00,col,M,6,5,"St. Francis de Sales, Toledo, OH",46,Zach McClellan,Zach McClellan,"McClellan, Zach","McClellan, Zach",McClellan,McClellan,Zachary,"McClellan, Zach",McClellan,,Daniel,,,,Zach,444886,1,P,mlb,pitching,2007-04-16T00:00:00,2007-10-10T00:00:00,NRI,NRI,2007-10-10T00:00:00,COL,col,115,Colorado Rockies,R,,190
330,Y,38,R,San Diego,USA,1981-04-02T00:00:00,CA,San Diego,,,,,2015-04-04T00:00:00,sd,M,5,9,"Grossmont, El Cajon, CA",89,Mike McCoy,Mike McCoy,"McCoy, Mike","McCoy, Mike","McCoy, M","McCoy, M",Michael,"McCoy, Mike",McCoy,,Howard,,,,Mike,453454,4,2B,mlb,hitting,2009-09-09T00:00:00,2015-03-17T00:00:00,Signed,MIN,2015-03-17T00:00:00,SD,sdn,135,San Diego Padres,R,,180
